state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
935000	0.010	0.714	0.010	1	0	0.000	0.003	-0.123	129.89	-2765.99	-0.01	-0.69
940000	0.010	0.844	0.010	1	0	0.000	0.000	0.053	129.73	-2766.00	-0.13	0.00
945000	0.012	1.067	0.012	1	0	0.000	0.001	-0.102	129.31	-2766.01	-0.10	0.00
950000	0.009	0.691	0.009	1	0	0.000	0.002	-0.041	129.83	-2765.99	0.00	-6.91
955000	0.012	0.814	0.012	1	0	0.000	0.000	0.021	130.40	-2766.00	-0.02	-0.69
960000	0.012	0.717	0.012	1	0	0.000	0.002	-0.137	129.99	-2765.99	-0.00	0.28
965000	0.010	0.605	0.010	1	0	0.000	0.004	-0.162	129.09	-2765.99	0.02	0.00
970000	0.010	0.468	0.010	1	0	0.000	0.013	0.000	126.24	-2765.98	-0.01	-0.69
975000	0.011	92.676	0.011	2	0	0.000	0.002	-0.115	130.84	-2767.14	-0.00	0.00
980000	0.011	0.963	0.011	1	0	0.000	0.008	-0.191	126.98	-2766.00	-0.02	-0.69
985000	0.012	796.183	0.012	2	0	0.000	0.001	-0.075	129.00	-2767.85	-0.01	-0.69
990000	0.011	314.665	0.011	2	0	0.000	0.007	0.019	123.01	-2767.41	-0.00	0.69
995000	0.010	0.521	0.010	1	0	0.000	0.003	0.016	129.14	-2765.98	-0.01	0.00
1000000	0.011	0.586	0.011	1	0	0.000	0.005	-0.125	129.33	-2765.99	0.00	0.69
