state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
8600	0.000	0.000	0.000	0	1	152.336	1.651	2.062	-34.88	-279.85	0.00	0.00
8700	0.000	0.000	0.000	0	1	88.779	1.446	1.710	-34.34	-279.72	-0.78	0.00
8800	0.000	0.000	0.000	0	1	88.415	1.099	2.233	-32.65	-279.72	0.78	0.00
8900	0.000	0.000	0.000	0	1	95.522	1.099	1.891	-32.45	-279.73	0.84	0.00
9000	0.000	0.000	0.000	0	1	109.629	1.099	1.909	-32.28	-279.76	0.00	0.00
9100	0.000	0.000	0.000	0	1	239.201	0.979	1.893	-32.03	-280.02	-0.00	0.00
9200	0.000	0.000	0.000	0	1	231.467	1.288	2.002	-32.46	-280.01	0.04	-0.08
9300	0.000	0.000	0.000	0	1	146.214	1.217	2.390	-32.96	-279.84	0.00	0.00
9400	0.000	0.000	0.000	0	2	214.659	1.217	2.023	-34.72	-280.88	0.00	0.00
9500	0.000	0.000	0.000	0	1	143.441	1.355	1.563	-34.06	-279.83	0.00	0.00
9600	0.000	0.000	0.000	0	1	520.196	1.421	1.885	-33.36	-280.58	0.00	0.00
9700	0.000	0.000	0.000	0	1	305.509	1.445	2.179	-33.39	-280.15	0.00	0.00
9800	0.000	0.000	0.000	0	1	561.040	1.360	2.183	-32.93	-280.67	0.00	0.00
9900	0.000	0.000	0.000	0	1	683.972	1.189	2.356	-32.57	-280.91	0.00	0.00
10000	0.000	0.000	0.000	0	1	1941.095	1.189	2.356	-32.93	-283.43	0.00	-44.40
10100	0.000	0.000	0.000	0	1	3209.448	1.091	1.903	-32.61	-285.96	0.00	0.00
10200	0.000	0.000	0.000	0	1	1516.420	1.071	1.903	-32.27	-282.58	0.00	0.00
10300	0.000	0.000	0.000	0	1	650.173	1.019	1.903	-32.00	-280.84	0.00	0.00
10400	0.000	0.000	0.000	0	1	631.745	1.019	1.903	-32.00	-280.81	0.00	-51.08
10500	0.000	0.000	0.000	0	1	776.875	0.997	2.570	-33.97	-281.10	0.00	0.00
10600	0.000	0.000	0.000	0	1	519.613	1.222	1.930	-32.26	-280.58	0.00	-54.52
10700	0.000	0.000	0.000	0	1	1531.437	0.916	2.010	-32.43	-282.61	0.00	0.00
10800	0.000	0.000	0.000	0	1	1382.942	1.014	2.019	-32.04	-282.31	-2.08	0.00
10900	0.000	0.000	0.000	0	1	1268.145	1.022	1.666	-33.33	-282.08	0.93	-0.31
11000	0.000	0.000	0.000	0	1	375.788	0.973	1.800	-32.42	-280.30	0.00	0.00
11100	0.000	0.000	0.000	0	1	704.972	0.913	2.010	-32.19	-280.95	0.00	-55.89
11200	0.000	0.000	0.000	0	1	607.376	1.276	2.010	-32.45	-280.76	-1.30	0.00
11300	0.000	0.000	0.000	0	1	1533.740	0.891	2.308	-33.14	-282.61	-2.23	0.00
11400	0.000	0.000	0.000	0	1	1646.897	1.207	2.308	-32.77	-282.84	-2.34	0.00
11500	0.000	0.000	0.000	0	1	2143.436	0.942	2.166	-32.47	-283.83	-0.00	0.00
11600	0.000	0.000	0.000	0	2	551.716	0.942	1.577	-32.57	-281.89	-0.96	0.00
11700	0.000	0.000	0.000	0	1	777.108	1.014	1.890	-32.10	-281.10	0.00	-59.17
11800	0.000	0.000	0.000	0	1	415.064	1.014	2.167	-31.78	-280.37	0.00	-59.60
11900	0.000	0.000	0.000	0	1	555.952	0.959	2.122	-31.89	-280.66	0.00	0.00
12000	0.000	0.000	0.000	0	1	235.870	1.099	2.125	-31.78	-280.02	0.00	-60.95
12100	0.000	0.000	0.000	0	1	182.246	1.099	1.800	-32.29	-279.91	0.00	-62.46
12200	0.000	0.000	0.000	0	1	449.365	1.172	1.749	-32.56	-280.44	0.00	0.00
12300	0.000	0.000	0.000	0	1	834.985	1.023	2.039	-31.85	-281.21	0.00	-65.00
12400	0.000	0.000	0.000	0	1	947.468	1.060	2.307	-32.29	-281.44	0.00	0.00
12500	0.000	0.000	0.000	0	1	594.815	1.039	2.612	-34.05	-280.73	-0.00	0.00
12600	0.000	0.000	0.000	0	1	580.425	1.039	1.739	-32.61	-280.70	0.00	-65.09
12700	0.000	0.000	0.000	0	1	1523.920	1.448	1.552	-34.82	-282.59	-0.00	0.33
12800	0.000	0.000	0.000	0	1	1393.678	1.152	2.307	-32.54	-282.33	0.00	0.00
12900	0.000	0.000	0.000	0	1	968.346	1.102	2.307	-32.32	-281.48	0.00	-68.40
13000	0.000	0.000	0.000	0	1	1001.796	1.091	1.811	-32.42	-281.55	0.00	0.00
13100	0.000	0.000	0.000	0	1	1153.532	1.365	1.830	-33.37	-281.85	1.90	0.00
13200	0.000	0.000	0.000	0	1	1127.530	0.991	2.203	-32.13	-281.80	0.00	0.00
13300	0.000	0.000	0.000	0	1	853.418	1.297	2.421	-33.25	-281.25	0.00	-71.47
13400	0.000	0.000	0.000	0	1	1101.650	1.449	2.416	-34.08	-281.75	-1.79	0.00
13500	0.000	0.000	0.000	0	1	138.283	1.368	2.154	-33.15	-279.82	0.00	0.00
13600	0.000	0.000	0.000	0	3	94.557	1.397	2.154	-37.42	-281.02	0.00	-76.90
13700	0.000	0.000	0.000	0	2	214.797	1.104	1.663	-32.87	-280.88	0.00	0.00
13800	0.000	0.000	0.000	0	1	162.437	1.236	2.108	-32.33	-279.87	0.00	0.00
13900	0.000	0.000	0.000	0	1	612.971	1.378	2.169	-33.04	-280.77	0.00	-79.81
14000	0.000	0.000	0.000	0	1	664.777	1.343	1.664	-33.58	-280.87	0.00	-81.91
14100	0.000	0.000	0.000	0	1	956.036	1.055	1.718	-32.84	-281.46	0.00	0.00
14200	0.000	0.000	0.000	0	1	741.372	1.230	1.718	-32.97	-281.03	0.00	-80.81
14300	0.000	0.000	0.000	0	2	526.452	1.130	2.201	-34.90	-281.82	1.22	0.00
14400	0.000	0.000	0.000	0	1	283.632	0.791	1.912	-33.76	-280.11	0.00	0.00
14500	0.000	0.000	0.000	0	1	325.838	1.666	2.406	-35.18	-280.20	0.00	-83.81
14600	0.000	0.000	0.000	0	1	176.457	1.713	2.444	-35.73	-279.90	0.00	0.00
14700	0.000	0.000	0.000	0	1	849.362	1.766	2.337	-35.87	-281.24	0.00	0.00
14800	0.000	0.000	0.000	0	1	240.482	1.231	2.337	-32.60	-280.02	0.99	0.00
14900	0.000	0.000	0.000	0	2	188.983	0.952	2.337	-32.21	-280.80	-0.00	0.00
